accession	cluster	abundance	length_ave	score	read_count	total_bases	coverage	subsampled	coverage_final	notes	index
ERR3406019	E_col_Pop5	0.295212	5250600.386752137	1	92603.59276468636	22321170	4.25116526794133	0	4.25116526794133	Warning: low coverage (4.25116526794133) so distances may not be accurate	6.0
ERR3406020	E_col_Pop57	0.839257	4986456.090909091	1	804797.6461843409	194889798	39.08382916582932	0	39.08382916582932		15.0
ERR3406022	E_col_Pop100	8.0477e-06	4754787.2	1	268297.6129299627	64740214	13.615796307351042	0	13.615796307351042		341.0
ERR3406022	E_col_Pop204	8.4768e-05	4818631.75	1	255826.0696517413	61705248	12.80555377571652	0	12.80555377571652		238.0
ERR3406022	E_col_Pop206	0.530704	4699136.75	1	358494.89939554525	86590858	18.426971294248887	0	18.426971294248887		141.0
ERR3406022	E_col_Pop6	0.0537369	4965438.799528302	1	270966.3933068257	65422126	13.17549740140083	0	13.17549740140083		1.0
ERR3406022	E_col_Pop78	0.0660995	5018982.642857143	1	323931.2738114958	78222924	15.585414329201635	0	15.585414329201635		0.0
ERR3406024	E_col_Pop2	0.65214	5164877.042972247	1	139311.9950331126	33657778	6.516665879935616	0	6.516665879935616	Warning: low coverage (6.516665879935616) so distances may not be accurate	9.0
ERR3406026	E_col_Pop5	0.84615	5250600.386752137	1	2354901.75891964	564988030	107.60446203933729	1	100	Warning: high coverage (107.60446203933729) so 2188479 reads were subsampled to reduce the coverage to 100	0.0
ERR3406027	E_col_Pop120	0.621398	5156901.25	1	135916.26746506986	32685144	6.3381364923363614	0	6.3381364923363614	Warning: low coverage (6.3381364923363614) so distances may not be accurate	149.0
ERR3406029	E_col_Pop118	0.0719941	5065547.5	1	149247.5235161908	35858210	7.078841921825824	0	7.078841921825824	Warning: low coverage (7.078841921825824) so distances may not be accurate	18.0
ERR3406029	E_col_Pop263	0.694982	5236989.666666667	1	628740.0862068966	151702408	28.967482782252322	0	28.967482782252322		13.0
ERR3406030	E_col_Pop6	2.50728e-06	4965438.799528302	1	100638.2772342895	24277978	4.88939225316931	0	4.88939225316931	Warning: low coverage (4.88939225316931) so distances may not be accurate	0.0
ERR3406031	E_col_Pop3	0.959519	5143260.323902439	1	1796169.4625608851	435140014	84.6039256418268	0	84.6039256418268		0.0
ERR3406032	E_col_Pop3	0.995361	5143260.323902439	1	3022075.622055055	731160976	142.15904503259384	1	100	Warning: high coverage (142.15904503259384) so 2125841 reads were subsampled to reduce the coverage to 100	0.0
ERR3406035	E_col_Pop212	0.19974	4826451.5	1	200932.01029643774	48396484	10.027342862556477	0	10.027342862556477		260.0
ERR3406035	E_col_Pop57	0.284343	4986456.090909091	1	227771.300597213	54920216	11.013877390823948	0	11.013877390823948		150.0
ERR3406036	E_col_Pop2	0.820408	5164877.042972247	1	229384.00132769064	55286132	10.704249402263471	0	10.704249402263471		3.0
ERR3406037	E_col_Pop6	1.79316e-06	4965438.799528302	1	182206.94108824263	43733310	8.807541843865742	0	8.807541843865742	Warning: low coverage (8.807541843865742) so distances may not be accurate	0.0
ERR3406037	E_col_Pop75	0.102516	4939779.933333334	1	173502.54915028322	41654492	8.432459049221611	0	8.432459049221611	Warning: low coverage (8.432459049221611) so distances may not be accurate	11.0
ERR3406038	E_col_Pop16	0.0952561	4959581.919354838	1	161727.765274652	38804960	7.824240153905533	0	7.824240153905533	Warning: low coverage (7.824240153905533) so distances may not be accurate	43.0
ERR3406038	E_col_Pop3	0.246196	5143260.323902439	1	133584.2846429464	32062900	6.23396405797176	0	6.23396405797176	Warning: low coverage (6.23396405797176) so distances may not be accurate	6.0
ERR3406038	E_col_Pop5	0.214549	5250600.386752137	1	135581.88943550404	32520672	6.193705405967165	0	6.193705405967165	Warning: low coverage (6.193705405967165) so distances may not be accurate	74.0
ERR3406039	E_col_Pop24	0.988686	5001836.486842105	1	1173890.7212216782	282884186	56.556064306412004	0	56.556064306412004		0.0
ERR3406040	E_col_Pop12	6.64603e-06	5410066.591715977	1	313384.7467559648	74867616	13.838575686783427	0	13.838575686783427		0.0
ERR3406040	E_col_Pop8	2.93454e-06	5408131.378181818	1	281026.3969171484	67092242	12.405808459216097	0	12.405808459216097		1.0
ERR3406042	E_col_Pop5	0.981414	5250600.386752137	1	452249.4994255703	110222248	20.99231323680684	0	20.99231323680684		3.0
ERR3406043	E_col_Pop10	0.999975	5098176.319672131	1	3556428.353154939	861224690	168.92799228556032	1	100	Warning: high coverage (168.92799228556032) so 2105292 reads were subsampled to reduce the coverage to 100	0.0
ERR3406045	E_col_Pop10	0.999915	5098176.319672131	1	1073070.5891966985	262623296	51.51318423151155	0	51.51318423151155		0.0
ERR3406047	E_col_Pop207	0.979113	4817971.5	1	1481649.6670229384	360426098	74.80868203558282	0	74.80868203558282		8.0
ERR3406049	E_col_Pop12	1.04329e-06	5410066.591715977	1	694963.7343647137	168903986	31.220315524143423	0	31.220315524143423		0.0
ERR3406049	E_col_Pop16	1.34823e-06	4959581.919354838	1	714678.2787559651	173723996	35.02795171545401	0	35.02795171545401		17.0
